2025-09-16 13:58:16.294 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 13:58:16.296 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 13:58:45.459 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 13:58:46.194 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 13:58:46.196 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 13:59:15.025 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 13:59:16.680 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 13:59:16.680 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 13:59:45.072 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 13:59:45.889 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 13:59:45.890 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:00:14.872 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:00:20.111 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:00:20.114 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:00:45.865 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:00:46.613 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:00:46.613 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:01:15.575 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:01:16.425 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:01:16.426 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:02:35.445 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:02:36.226 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:02:36.227 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:02:45.844 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:02:46.735 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:02:46.735 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:05:37.746 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:05:38.814 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:05:38.815 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:06:37.604 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:06:39.254 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:06:39.254 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:07:38.474 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:07:39.129 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:07:39.130 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:08:37.453 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:08:39.100 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:08:39.101 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:09:37.893 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:09:38.675 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
